job_title,location,company,salary,rating,summary
Business Intelligence Developer,"Somerville, MA 02145 (Assembly Square area)",Mass General Brigham(PHS),,3.9,"Identify and implement improvements in analytics and data delivery to PHS staff by leveraging knowledge of business intelligence, data warehousing and…"
Data Scientist / Engineer,"Boston, MA",Harvard University,$40 per class,4.3,We are looking for an engineer/data scientist capable of developing and working with custom hardware and software including instrumentation for high-throughput…
Business Intelligence Developer,"Weymouth, MA 02190 (South Weymouth area)",South Shore Health,,3.9,This position will support and become expert in any tools and information systems implemented to provide efficiencies for data extraction and work closely with…
"Business & Operations Data Analyst, Crozier","Somerville, MA 02143",Iron Mountain,,3.7,Help business users determine what data is required to answer their important questions for business performance management and optimization.
Business Analyst,"Boston, MA 02110 (Downtown area)",Cambridge Associates LLC,,3.7,You understand how to translate business needs into actionable development work through requirements. You have a strong command of SQL and can use data to find…
Data Analyst,"Norwell, MA 02061",Congruity 360,,,"2+ years of professional business experience, with at least 1 years’ experience in a data analyst role. Strong understanding of database systems and management…"
Business Intelligence Developer,"Boston, MA",MassMutual,,3.7,"7 + years BI/ Analytics experience with increasing responsibilities implementing medium and large-scale projects, business intelligence solutions, and data…"
Business Intelligence Analyst,"Newton, MA 02458 (Nonantum area)",STV,,3.9,"Ensure proper data cardinality, data relationships, and quality of the data. A minimum of 8 years experience with business intelligence and analytics."
"Analyst, Data Analytics","Boston, MA",Lincoln Financial,,3.7,"3 - 5+ Years of data analytics, data mining, and/or reporting experience that aligns to the responsibilities of this position (Required)."
Business Intelligence Data Analyst,"Waltham, MA 02453","Commonwealth Equity Services, Inc.",,,"As a business intelligence data analyst, you will build data models and visualizations to enhance data-driven decision making across the firm."
Data Analyst,"Boston, MA (Downtown area)",Federal Reserve Bank of Boston,,4.2,"Translates business requirements into conceptual, logical and physical data model. Able to interpret basic data results and develop presentations to business…"
Research Engineer,"Waltham, MA 02451",A123 Systems LLC,,3.3,The research engineer’s primary responsibility is to support fundamental R&D’s material research programs that are associated with internal technology…
"Analyst, Data and Analysis","Boston, MA",Digitas,,3.8,Familiarity with Excel and/or other data analysis tools such as SQL or Tableau a plus. Identifying nuances in data to optimize our clients’ business.
Business Intelligence Data Warehouse Developer,"Newton, MA 02459 (Oak Hill area)",Bright Horizons Family Solutions,,3.5,Work with end users to identify all data points needed for business intelligence reporting and analytics and build data views and data layers using business…
Data Analyst Intern,"Weston, MA 02493","Monster Worldwide, Inc.",,3.6,"Currently enrolled in a BA or BS program at a credited college or university Must be returning to school in the Fall to either a BA, BS or Master’s Program…"
Data Analyst,"Norwell, MA 02061",Congruity 360,,,"2+ years of professional business experience, with at least 1 years’ experience in a data analyst role. Strong understanding of database systems and management…"
Business Intelligence Developer,"Boston, MA",MassMutual,,3.7,"7 + years BI/ Analytics experience with increasing responsibilities implementing medium and large-scale projects, business intelligence solutions, and data…"
