job_title,location,company,salary,rating,summary
Data Scientist,"Philadelphia, PA 19102 (City Center West area)",Cadent,,3.1,"Proven background answering open ended research questions using data. M.S. or higher in computer science, mathematics or related discipline with a focus on…"
Market Research Analyst,"Philadelphia, PA 19107 (City Center East area)","Jefferson - Center City, Philadelphia, PA",,3.9,Two years’ business experience required; market research experience a plus. Proven data gathering and analytical skills required; experience working with large…
Data Analyst Intern,"King of Prussia, PA 19406",PayPal,,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.
Data Analyst,"Philadelphia, PA 19104 (University City area)",University of Pennsylvania,,4.2,"Familiarity with R, SAS, Stata, or other data analysis or data handling software strongly preferred. Typically sitting at desk or table; Intermittently sitting…"
Business Analyst 1,"Plymouth Meeting, PA",iknowvate technologies,,,The business operations specialist usually reports to a project manager or director. Summary: The main function of a business operations specialist is to…
Business Development Specialist (Market Research Analyst),"Voorhees, NJ 08043",Sricom,"$60,000 a year",,** Bachelor’s degree or its equivalent in a specific field like marketing or business or economics or communications or a similar field.
Master Data Analyst I,"Collegeville, PA 19426",Pfizer,,4.2,This position is critical to the successful operation of the business as Master data is used to drive business operations from Customer Service through Finance.
Data Delivery Analyst,"Philadelphia, PA",HealthVerity,,,Consult with internal teams to understand business requirements and deliver appropriate data analyst solutions to meet their needs.
2021 Consumer & Community Banking Data Science Full-Time Analyst Program - Focused Analytics Solutions Team (FAST),"Wilmington, DE","JPMorgan Chase Bank, N.A.",,3.9,"Building an in-depth understanding of the business and available data assets. Unifying data and analytics talent across Chase, the team encompasses a variety of…"
Data Engineer,"Philadelphia, PA",HealthVerity,,,Standardizing on common data models across data types. Work with the team to load data into HealthVerity's data warehouse. 3+ years of work experience.
Junior Data Analyst,"Philadelphia, PA",VISTA Technology Services,,5.0,Experience compiling and analyzing ILS data and developing associated reports or similar taskings. High School diploma or GED desired.
Data Scientist,"Malvern, PA",Vanguard,,3.8,"Identifies and diagnoses data inconsistencies and errors, documents data assumptions, and forages to fill data gaps."
Data Engineer,"Malvern, PA",Vanguard,,3.8,"Minimum of five years data analytics, programming, database administration, or data management experience. Tests data quality and optimizes data availability."
Research Assistant Internship - DATA Lab,"Philadelphia, PA 19107 (City Center East area)",Philadelphia District Attorney's Office,,4.1,"Writing memos summarizing DATA Lab data and research projects, criminal justice policies and policies in other jurisdictions, or extant research scholarship…"
"Analyst, Business Intelligence","Philadelphia, PA",Publicis Healthcare Communications Group,,3.9,"Experience with SAS, SPSS or other data manipulation tools a plus. 0-2 years of business experience working in Marketing, Advertising or Consulting."
"Business Intelligence, Data Scientist (Full-Time)","Conshohocken, PA 19428",Integress,,,Demonstrated ability to communicate data insights and model results in business terms and articulate business value. Experience with AWS and/or Azure Cloud.
Data Engineer,"Philadelphia, PA",Macquarie Group Limited,,3.8,"If you have experience in data visualization and Power BI as well as development experience in a large organisation within a complex technology landscape, that…"
Data Scientist,"Plymouth Meeting, PA",IQVIA,,3.8,"Technical skills/knowledge in one or more of the following: machine learning, regression analysis and forecasting, data modeling, Python/big data factory/R…"
Geneva Business Analyst,"Oaks, PA",Capgemini,,3.8,Create and deliver data mapping documentation for reporting requirements. Ability to work with both the application SMEs and Business Stakeholders for eliciting…
Sr Analyst - Financial Data Analytics,"Exton, PA",Ricoh,,3.4,"Ensure that business reporting requirements are met, and data is audited for accuracy. Qlik or Power BI certification preferred."
Senior Analyst/Developer,"Norristown, PA",Montgomery County Pennsylvania,"$49,441 a year",3.2,"Manages and mentors analyst/developer staff. The employee is occasionally required to use hands to finger, handle or feel objects, tools or controls; reach with…"
Data Operations Engineer,"Philadelphia, PA",HealthVerity,,,Standardizing on common data models across data types. Analyze all vendor data assets and correct complex data anomalies.
Business Analyst (LOS),"Conshohocken, PA",Piper Companies,$35 - $45 an hour,4.5,Expert at creating functional specs through translation of business requirements. Gather and translate business requirements into functional specs for various…
"Financial Analyst / Entry Level / Camden, NJ","Camden, NJ 08103",LOCKHEED MARTIN CORPORATION,,4.0,"Degree emphasis in Finance, Business Administration, or related discipline. Responsibilities include, but are not limited to; establishing and maintaining…"
Data Analyst,"Philadelphia, PA 19107 (City Center East area)",Philadelphia District Attorney's Office,,4.1,"A minimum of 1 year working experience in the field of data analysis and/or GIS; Most analysis will be done using R, GIS, or a combination, though analysts are…"
Data Entry Analyst,"Yardley, PA",Piper Companies,$13 an hour,4.5,"Taking data from Excel into chart form. My client, a pharmaceutical technology company in Yardley, PA, is seeking a Data Entry Analyst for a 3 to 6 month…"
Collateral Data Support Team (CDST) Support Analyst I,"Philadelphia, PA 19106 (Old City area)",Federal Reserve Bank of Philadelphia,,4.3,Produces data quality dashboards based on System documentation. Performs updates and verifies data entered in the Collateral Management System.
Business Intelligence Analyst,"Philadelphia, PA 19103",STV,,3.9,"Ensure proper data cardinality, data relationships, and quality of the data. A minimum of 8 years experience with business intelligence and analytics."
Business Intelligence Developer,"King of Prussia, PA 19406",Recovery Centers of America,,2.9,Contribute to and employ best practices and strategies in optimizing the performance of data analysis and stability of data integration solutions.
Business Intelligence Developer,"Philadelphia, PA 19113",AmeriHealth Caritas,,3.3,Provides production support for business intelligence solutions. Develop and update technical documentation alongside of the business analyst.
Business Analyst,"Horsham, PA",Aegis Software,,4.3,Collecting and analyzing data for potential business opportunities. Communicate design to stakeholders and developers.
Data Scientist,"Philadelphia, PA 19106 (Old City area)",Five Below,,3.6,"Answer complex business problems, optimize processes, or enhance automation. Enthusiasm for answering complex business questions and developing practical…"
Database Developer,"Wayne, PA",Intellicomm Inc,"$50,000 - $65,000 a year",,Developing software applications for database management. Bachelor's degree in Database Management or related field. Writing queries and stored procedures.
Business Process Analyst,"Philadelphia, PA",US Department of Defense,"$84,231 - $109,505 a year",4.2,"Substantive skill in written communications to prepare correspondence and briefing materials, document research findings, conduct research studies reporting…"
Data & Reporting Analyst,"Philadelphia, PA 19102 (Rittenhouse area)",Public Health Management Corporation,,3.5,"Planning, developing, and maintaining strategic documentation for business solutions (requirements, models, process flow diagrams, data & metric dictionaries)."
SQL Data Engineer,"Horsham, PA",Piper Companies,,4.5,"Work closely with the data modelers, data analysts, and QA team to ensure that the data is properly loaded into the ODS."
Data Analyst,"Fort Washington, PA",CMC Energy Services,,3.7,Identify database design changes needed to improve efficiency and accuracy of the data. Ensure high quality data is collected and maintain integrity of the data…
Business Analyst,"Philadelphia, PA",Hunter & Michaels,,,CPG factbased Sales / Category Analytics experience to elevate the totality of the business. 4 Weeks of Vacation immediately upon being hired; Full Benefits;…
Business Analyst,"Plymouth Meeting, PA 19462",Exelon Corporation,,4.0,Experience in business case development and ability to effectively present business cases to business unit leadership.
SQL Data Analyst,"Horsham, PA",Piper Companies,,4.5,"3+ years' experience performing data analysis in a data warehouse, data mart, or business intelligence environment. Deep knowledge of data warehouse concepts."
Senior Business Intelligence Analyst-Remote OK,"Philadelphia, PA 19120 (Olney area)",Splunk,,4.1,12+ years of Business Intelligence Architecture experience and data warehouse database technology expertise. You understand how data analytics development teams…
Summer Internship - Research - Empirical Macro Economics Analyst,"Philadelphia, PA 19106 (Old City area)",Federal Reserve Bank of Philadelphia,,4.3,"Students majoring in Economics, Statistics, or related field will be considered. Use a database on U.S. campaign contributions to identify the ideological…"
Database Administrator II,"Camden, NJ",NFI Industries,,3.2,"Develop and test data recovery strategies and perform data restoration activities as required. Primary responsibilities include owning, tracking and resolving…"
Data Analyst D,"Philadelphia, PA 19104 (University City area)",University of Pennsylvania,,4.2,Provide institutional central support to data management process development and documentation across the Perelman School of Medicine (PSOM).
Data Scientist,"Bala-Cynwyd, PA 19004",Alex’s Lemonade Stand Foundation,,5.0,The Data Lab data scientist is a point person on data-intensive cancer biology within the lab and a senior member of the data science team.
Business Analyst,"Philadelphia, PA",Morgan Lewis,,3.8,Works closely with the data management team to define interaction of data with other systems/databases. Assists in development of supporting business processes.
Data Analyst (Compliance),"Philadelphia, PA 19123 (Northern Liberties area)",goPuff,,2.9,"Become an expert with associated compliance data by pulling data, analyzing data, and reporting to the Compliance Team on current performance, trends and…"
Data Analyst C,"Philadelphia, PA 19104 (University City area)",University of Pennsylvania,,4.2,"With general direction, performs data analysis and assists with design of complex data models based upon business or research requirements."
Business Analyst I,"Camden, NJ",NFI Industries,,3.2,"A good understanding of the EDI technologies, data mapping and data flow. Requires up to 10% travel based on business requirements."
Data Verification Analyst,"Philadelphia, PA",Temple University,,4.2,"Bachelor’s degree in social sciences, statistics, information systems, educational research, accounting or related field and at least two (2) years of…"
AI/ML Products Business Analyst,"Plymouth Meeting, PA",IQVIA,,3.8,"Data Analysis: Experience and comfort dealing with data, and experience with analytic tools (Excel, Tableau etc.) to extract business insights from data."
Data Analyst,"West Chester, PA 19380",AccessLex Institute,,4.0,Work with various customer groups to develop the business data collection and access layer across various business intelligence products.
Analyst - Referential Data Analyst,"King of Prussia, PA",BNP Paribas,,3.9,"Data Management: determine the data strategy for the platform with the objective of identifying and adopting golden sources, capturing and maintaining data…"
Business Insights Analyst,"Philadelphia, PA 19123 (Northern Liberties area)",goPuff,,2.9,2-3 years of experience working with data. Mining internal and external data to uncover key insights on an ongoing basis.
Data Management- Product Owner/Business Systems Analyst,"Radnor, PA",Lincoln Financial,,3.7,Consults and collaborates with internal and/or external stakeholders to determine more complex technical specifications from business requirements.
Geophysical Data Analyst,"West Chester, PA 19380",Weston Solutions,,3.4,"In this role, you will perform, direct or mentor other geophysicists in data processing and analysis for Weston’s munitions response projects."
Sr. Business Analyst- Business Intelligence,"Bala-Cynwyd, PA 19004",TMNA Services LLC,,,"Responsible for decomposing broad business information needs into well-defined data requirements including business measures, reference data, business data…"
"Data Analyst, Manufacturing and Process Performance Analysis","Philadelphia, PA 19104 (University City area)",Spark Therapeutics,,3.4,Strong data management skills related to working with structured/unstructured data sets. Works with process engineers and scientists to execute data analysis…
Exceptional Temp College Coop: Service Operations Data Analyst (Collet),"Philadelphia, PA 19103 (Logan Square area)",Independence Blue Cross,,3.8,The Operations Technology & Analytics team uses data analysis to develop tools and reports for both strategic initiatives and production support.
Inventory Analyst,"Philadelphia, PA 19106 (Old City area)",Five Below,,3.6," Experience with JDA, Island Pacific, and/or Business Intelligence is a plus.  Analyze historical data and current trends in order to identify risks and…"
