job_title,location,company,salary,rating,summary
Data Engineer,"Austin, TX",Sansutek,,,"Seattle, Austin or Bay Area. 5+ years of Java or Scala programming experience as their primary language. Job Types: Full-time, Contract."
Data Analyst,"Austin, TX 78701 (Downtown area)",RoverPass,,,Perform strategic data analysis and research to support business needs. Validate business data for accuracy and completeness.
Business Intelligence Analyst,"Austin, TX 78730",All Web Leads,,3.2,"You will interact closely with executives, stakeholders, engineers, and other analysts to optimize the business. 2+ years experience with Microsoft SQL."
Data Analyst,"Austin, TX",NexGenT,,,Help different business unit leaders on driving business insights through data presentation / visualization. The data analyst role will report to COO at NexGenT…
Food & Nutrition-Business Analyst,"Austin, TX 78749",Prolim,$57 - $74 an hour,,"Documents relevant data reporting elements. Queries, analyzes, and provides data. Ability to quickly and clearly communicate technical information to non…"
Business Analyst 2-Ops,"Austin, TX",Oracle,,3.8,Provide management with economic impact and compliance issues surrounding key business decisions and/or deals. Provides business practices and processes.
Junior Data Engineer,"Austin, TX 78744",EBQ,,,"If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability…"
Business Data Analyst,"Austin, TX 78731",SALI Fund Services,,,Minimum 1 year of data analytics / business intelligence experience. Personal protective equipment provided or required.
Data Analyst Intern,"Austin, TX 78729",PayPal,,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.
"Business Intelligence Analyst, P&T","Austin, TX",Procore Technologies,,4.1,"Identify business intelligence, reporting, and data analysis needs. Partner with Product Managers, UX Designers, and Engineers to determine business…"
Data Analyst Engineer,"Austin, TX",Breakthrough PT Marketing,,,"Identify, implement and own business intelligence software to provide business insights cross-functionally. Experience with data pipeline management."
Business Intelligence Developer,"Austin, TX 78738",Dosh,,4.5,"2+ years of industry and client consulting experience in a data science, business analytics, business intelligence, or comparable data role."
Business Intelligence Analyst,"Austin, TX",Spectrum Brands,,3.5,"Experienced at visualizing data in Excel, PowerBI or equivalent. The right candidate will have a passion for discovering solutions hidden in large data sets,…"
Business Intelligence Analyst ll (B3),"Austin, TX",Applied Materials Inc.,,3.9,Analyzes and interprets data and business intelligence reports. Works with others in the development of data warehouses and other data sources to support…
ETL / Data Warehouse Developer,"Austin, TX",New York Life Insurance Co,,3.7,"Create SSIS packages to import/export data, and load and process data. Prepare data for job runs. The primary job function is to develop, test, tune, and…"
Business Intelligence Analyst ll (B3),"Austin, TX",Applied Materials Inc.,,3.9,Analyzes and interprets data and business intelligence reports. Works with others in the development of data warehouses and other data sources to support…
ETL / Data Warehouse Developer,"Austin, TX",New York Life Insurance Co,,3.7,"Create SSIS packages to import/export data, and load and process data. Prepare data for job runs. The primary job function is to develop, test, tune, and…"
Supplier Operations Support Analyst,"Austin, TX",Tesla,,3.5,"For senior analyst positions, 6 years or more of experience are expected. At least 2 years of work experience in supply chain, manufacturing or other process…"
Business Analyst,"Austin, TX",Talentiqo,$45 - $60 an hour,,The initial assignment for the Business Analyst will be to support the migration of an existing major data warehouse solution and associated web applications…
Marketing Data Scientist,"Austin, TX 78731",Indeed,"$70,000 - $92,000 a year",4.3,"Day-to-day activities will involve using Python, or R, to pull together large data sets. Whether creating impactful advertising, coding bidding algorithms, or…"
Data Analyst,"Austin, TX 78703",Austin Pets Alive!,,3.8,Summarize monthly data and write monthly data reports. Assist Data Coordinator and other data positions in summarizing surveys and data to generate survey and…
Business Intelligence Analyst - Sales,"Austin, TX 78703 (Old West Austin area)",Miro,,4.8,Find the stories buried in data and build insightful dashboards that enable everyone at Miro to be an analyst. Competitive salaries + Flexible time off.
Senior Data Engineer,"Austin, TX",Apgar Consulting,"$83,000 - $103,000 a year",,"Personal protective equipment provided or required. Master data management: 3 years (Required). Sanitizing, disinfecting, or cleaning procedures in place."
Business Analyst II,"Austin, TX",EvereTech LLC,$45 - $60 an hour,5.0,"The Business Analyst should possess both business and systems analyst skills, perform business process and requirements analyses by leading stakeholder…"
Research Scientist/Engineer - Product Development and Testing,"Round Rock, TX 78664","Ametrine, Inc.","$50,000 - $65,000 a year",,"May require domestic and/or international travel (25% or less). Bachelors Degree in Engineering, Physics, or Chemistry. 0-2 years of experience."
Data Analyst V,"Austin, TX 78751 (Triangle State area)",Health & Human Services Comm,"$5,785 - $9,783 a month",3.4,"Evaluate research data: to prepare reports and research findings: and to. Experience in data reporting, database structures and presenting findings."
Data Scientist,"Austin, TX 78730",CDK Global,,3.2,. Take business requirements and turn them into a research project which includes designing and implementing A/B testing.
Business Intelligence Analyst - Operations,"Austin, TX",Babylon Health,,3.0,1+ years of business experience using SQL. Help build the foundational data infrastructure and analytics platform to assist data-driven teams within the product…
Data Analyst,"Austin, TX",Lagomaj Capital,,,Our new data analyst should have a STEM background and be open to working quickly on problems by finding patterns and creating solutions grounded in data.
Business Analyst - New Jersey,"Austin, TX",Celsius,,3.6,"Ability to articulate data requirements and data quality standards. Communicate complex business needs into clear, actionable systems requirements."
Data Engineer,"Austin, TX 78702 (East Cesar Chavez area)",Literati,,,"Building data objects, procedures, and data streams in Snowflake. Building new tables, schemas in the data warehouse to increase consistency and accuracy of the…"
Liaison Business Analyst,"Austin, TX","PMCS Services, Inc",$70 - $80 an hour,,"Business analyst: 10 years (Required). Documents relevant data reporting elements. Queries analyze and provide data. Job Types: Full-time, Contract."
Data Engineer,"Austin, TX 78705 (Hancock area)",REX,,4.7,"Map-Reduce, Hive or any big data technology. As a data Engineer, you will build from scratch highly available and highly scalable data processing systems using…"
Data Engineer,"Austin, TX",Sage IT Inc,$55 - $60 an hour,,"B.S./M.S. in Computer Science or Computer Engineering or 3+ years of equivalent experience. Strong skills in SQL, Java and/or Python."
Business Analyst,"Austin, TX 78701 (Downtown area)","GB Tech, Inc.",,3.7,"Documents relevant data reporting elements. Queries, analyzes, and provides data. The position is the FND program liaison with TDA’s Information Technology (IT)…"
"Intern (Associate Market Analyst, Business Development)","Austin, TX 78757 (North Shoal Creek area)",Pearson,$20 an hour,3.7,Perform market research and analysis. Evaluate costs and benefits of multiple actions and/or solutions and provide data-driven recommendations.
Business Intelligence Analyst,"Austin, TX",ZVRS Purple Communications,,,Experience with call center and/or telecom data is a plus. This position is responsible for analyzing data that is used by the business to ensure these concepts…
Claims Data Analyst II,"Austin, TX 78717","Continental LTC, Inc.",,,Develops knowledge of business information data sources used to gain new insights and understanding of business performance based on data.
