job_title,location,company,salary,rating,summary
Data Analyst I,"Los Angeles, CA 91367","Tarzana Treatment Centers, Inc",,3.3,"Designs data collection instruments, including forms and fields in currently utilized data gathering software. Prepares SPSS syntax files."
Data Analyst,"Los Angeles, CA 90036",WEBTOON Entertainment,,,"You will work on research projects, data analysis, and product analysis to improve the WEBTOON app and internal understanding of data."
"Analyst, Data & Research","Los Angeles, CA 90017 (Downtown area)",Los Angeles Homeless Services Authority,,3.6,"Practiced experience in collecting primary data, utilizing secondary data, as well as organizing and managing administrative data."
Business Intelligence Analyst,"Cerritos, CA 90703",REVOLVE,,3.6,"Synthesize current business intelligence or trend data to assess area of improvement, support recommendations for action, define and implement routine reports."
Business Analyst-Specialist (1 of 2),"Pasadena, CA",Kaiser Permanente,,4.1,Business and Process Improvement: Identifies opportunities for business or process improvement; makes associated. Recommendations and implements as appropriate.
Data Analyst,"Los Angeles, CA",EDO,,4.7,"Experience collaborating with both business and engineering stakeholders using data. Work closely with our engineers, data scientists, sales, and client support…"
Associate Business Intelligence Developer,"Hawthorne, CA 90250 (North Hawthorne area)","OSI Systems, Inc",,3.3,"Basic understanding of data modeling applicable to business Intelligence. Work with others in the IT organization to construct data models and database designs,…"
Configuration Data Analyst,"Redondo Beach, CA 90278","Excelraise, LLC",$85 - $90 an hour,,B. Perform CM Program Release by reviewing & approving program data for adherence to CM policies & contractual mandates.
Production Data Analyst,"Burbank, CA",Walt Disney Animation Studios,,4.7,Gather data and formulate statistical approaches to solve key business and strategic problems at the studio level. Comfortable in a creative environment.
Data Scientist,"Burbank, CA",Warner Bros. Entertainment Group,,4.2,"From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units…"
Business Intelligence Engineer,"Culver City, CA",sweetgreen,,3.7,"4+ years of working experience in business intelligence, data analytics, management/technology consulting, or a related field."
Business Analyst (CONTRACT / REMOTE),"Santa Monica, CA 90404 (Mid-City area)",Universal Music Group,,4.1,Develop a thorough understanding of the business need and related business processes. Perform kick-offs with the developers and answer questions and resolve…
Data Analyst,"Los Angeles, CA",Fillgood,$18 an hour,,Identify and extrapolate data promptly and precisely to answer business requests as needed. This position will work closely with the Distribution Manager to…
Business Intelligence Analyst,"Torrance, CA 90502",Walker Advertising,,2.8,"Work closely with cross-functional business owners to identify “what matters most”, and recommend business operation/data collection processes that empower…"
Data Analyst I,"Woodland Hills, CA",Kinect,,,"Analyze data and compare between data sets, making decisions on validity of Amazon chargebacks. Bachelor' s degree or equivalent work experience or a minimum 2…"
Business Intelligence Analyst,"Torrance, CA 90502",Walker Advertising,,2.8,"Work closely with cross-functional business owners to identify “what matters most”, and recommend business operation/data collection processes that empower…"
Data Analyst I,"Woodland Hills, CA",Kinect,,,"Analyze data and compare between data sets, making decisions on validity of Amazon chargebacks. Bachelor' s degree or equivalent work experience or a minimum 2…"
Data Analyst,"Los Angeles, CA",RingDNA,,,"Provide ad-hoc support for data-oriented projects, including exploratory analysis, query-generation, and data labeling."
Data Center Engineer,"El Segundo, CA 90245",UPPER LLC,$30 - $45 an hour,,UPPER holds a database of qualifying engineers.
Data Analyst,"Los Angeles, CA",MediaAlpha,,,"Compile, analyze, and interpret marketplace data to maximize revenue and profitability across business units. Core responsibilities include optimizing campaigns…"
Business Intelligence Analyst,"Glendale, CA 91203 (City Center area)",SYSTECH,,3.5,"Bachelor’s Degree + 5 yrs. progressive experience in job or related occupation or Master’s Degree. Design, develop, implement and test logical and physical data…"
Data Analyst,"Commerce, CA 90040",JWCH Institute,,3.1,Proven experience working as a data analyst. Knowledge in i2i database preferred. Wesley Community Health Behavioral Health Department is looking for a positive…
Business Intelligence Analyst,"Industry, CA",Hot Topic Inc.,,3.9,"You will be working with a variety of data sources to develop, and implement data and business intelligence solutions to enable partners to make data-driven…"
Data Analyst - Undergraduate Internship,"Burbank, CA 91504",Kaiser Permanente,,4.1,Learning new applications needed to complete assignments or support the execution of business objectives. Contributing to a designated project or initiative to…
Data Governance Business Analyst,"Los Angeles, CA 90071 (Downtown area)",Manufacturers Bank,,3.9,"Work with business units to define MB data needs and data metrics, to further establish data KPIs to report on data health."
Jr. Business Intelligence Developer,"Santa Fe Springs, CA 90670",Raymond Handling Solutions,,4.1,Associate's degree (A. A.) or equivalent from two-year college or technical school; or 5 years of related experience and/or training; or equivalent combination…
Administrative Analyst I,"Los Angeles, CA 90057 (Westlake area)",Housing Authority City of Los Angeles,$32.91 - $45.43 an hour,4.5,"Perform research, observe operations; analyze and consolidate data from a variety of sources. Develop new and improved programs, systems and procedures as a…"
Data Intelligence Analyst,"Cerritos, CA 90703",REVOLVE,,3.6,"Aptitude for understanding business environment and translating business requirements to technical solutions. Collaborate with analysts, data engineers, project…"
Data Engineer,"Los Angeles, CA",Syeta Inc,$55 - $60 an hour,,"Good to have Snowflake or redshift. Data engineer: 9 years (Required). Snowflake or redshift: 3 years (Required). Job Types: Full-time, Contract."
Enterprise Data Scientist I,"Woodland Hills, CA",Farmers Insurance Group,,3.6,"At least year in a data analytics role (business intelligence analyst, data analyst, etc.). High school diploma or equivalent required."
Business Intelligence Analyst (Data Analyst),"Glendale, CA",Wolters Kluwer,,3.6,3 years of proven working experience as a data analyst or business data analyst. Marketing Analytics – Transform data into actionable insights using business…
