job_title,location,company,salary,rating,summary
Data Visualization & Research Analyst,"Scottsdale, AZ 85255 (North Scottsdale area)",Northcentral University,,3.3,"To extract and manipulate mid-to-large data sets from the database and merge or concatenate with other data sets, as needed for further analysis."
Junior Economic Data Analyst,"Phoenix, AZ 85012 (Encanto area)",OH Predictive Insights,"$28,000 - $36,000 a year",,"Analyze quantitative research data (including data cleaning, cross-tabulations, and advanced analytics). 1-2 years of experience with polling and or market…"
Reporting and Data Analyst,,eSquared Communication Consulting,$17 - $19 an hour,,"1-2 year’s prior experience in data entry, data analytics and/or administrative professional office environment. Social distancing guidelines in place."
Data Analyst,"Glendale, AZ 85306",AZPetVet,"$65,000 - $75,000 a year",4.0,"Work experience as a data analyst. Mining data from various sources, then cleaning and reorganizing said data into reports using Excel, Tableau, and other data…"
Business Analyst,"Phoenix, AZ",Eateam inc,"$54,060 - $116,714 a year",,"Degree in business, statistics, or information systems or equivalent work experience. 3+ years experience in a business or technical analysis role."
Police Research Analyst (Critical Position),"Phoenix, AZ 85003 (Central City area)",City of Phoenix,,4.2,Professional level subject-matter expertise or practical experience in a police environment. These positions will assist sworn and civilian staff in providing…
Business Systems Analyst - Data Management,"Phoenix, AZ 85034 (South Mountain area)",Avnet,,3.8,Facilitates cross-functional team meetings to address business problems or systems issues. Develops solutions to complex problems where analysis of situations…
"Data Engineer, Customer Success","Scottsdale, AZ 85257 (South Scottsdale area)",Square,,3.6,"1-3 years professional of analytical experience in data engineering, data science, or product / BI analytics. Provide comprehensive day-to-day analytics support…"
Data Scientist,"Phoenix, AZ 85018 (Camelback East area)",Intel,,4.1,"Develop software, algorithms, and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data…"
Business Analyst,"Glendale, AZ",Agile 1,,3.4,"Utilizes business analysis, data mapping and data validation to develop. . Analyze data extracts and complete data mapping."
Data Scientist - Privacy,"Phoenix, AZ",PRA Health Sciences,,3.4,Provide recommendations based on analyzed data to solve a variety of business problems and enable business strategy. Coordinate analysis with Third Party.
Business Intelligence Developer,"Phoenix, AZ",Greystar,,3.6,"Document data and business changes. Independent application of business intelligence with ETL, data modeling, analytics, development, and support while…"
Data Engineer Immuta (Data Access & Policies),"Phoenix, AZ","Hierarch Soft Technologies Inc,",$50 - $55 an hour,,ETL process and data flow experience. Candidate should have good experience in Data Policies/access and if not Immuta than any other enterprise data Access…
IT Business Systems Analyst Intern (Application or Data),"Scottsdale, AZ 85255",P.F. Chang's,,3.7,Solution design based on requirements (BSA Application or Data). SQL and/or query programming knowledge (BSA Data).
Data Engineer,"Tempe, AZ 85281",AGM Tech Solutions,$60 - $68 an hour,,"In this position you will develop new data management, business intelligence and analytics capabilities that provide business with new insights for their…"
Product Engineer,,"Vector Technology Systems, LLC","$60,000 - $85,000 a year",,"2+ years' business professional experience. Personal protective equipment provided or required. Sanitizing, disinfecting, or cleaning procedures in place."
Process Analyst (Industrial Engineer),,Dexcom,,3.3,Collects data to identify root cause of problems. Works on problems of moderate scope where analysis of situations or data requires a review of a variety of…
MVC / .NET / SQL Developer,,"Agate Software, Inc.","$54,000 - $84,000 a year",,Associates Degree in Computer Science or equivalent. The system is built in such a way that developers create tools and custom modules that our configuration…
Senior Business Intelligence/Data Analyst,,Rinchem Company Inc.,,,Expected to learn new technologies and analytical methodologies relating to business intelligence and data analysis. Tableau Server Certification is a plus.
Board Certified Behavior Analyst (BCBA),,BehaviorCare Therapy,"$80,000 - $90,000 a year",5.0,Analyze ABA data and implement data-driven program changes·. Advanced web-based data collection site. Write reports summarizing data and progress for each…
