job_title,location,company,salary,rating,summary
Business Intelligence Developer,"Miami, FL 33169",ChenMed,,3.3,"Develops data programs that extract, transform, and load (ETL) data from the data warehouse, assures that architecture and development follow data warehouse…"
Data Analyst/Data Entry Analyst.,"Miami, FL 33130 (Brickell area)",Orbit,"$38,000 - $48,000 a year",4.0,"Analysis and manipulation of multiple data sources utilizing Excel; will require use of VLOOKUP, PIVOT Table, and advanced filtering and sorting techniques."
Supply Chain Data Analyst,,AREAS USA,"$40,000 - $60,000 a year",,"Two+ years of experience in master data management, data analytics, or similar role, preferably in a QSR/retail environment."
Lead Data Engineer,,"SOL Digital, LLC",$85 - $100 an hour,,"Experience with setting up and operating data pipelines using Python or SQL. *Understanding of data architecture concepts such as data modeling, metadata,…"
"Database Administrator IT, IT Business Intelligence, FT, Days","Miami, FL",JACKSON HEALTH SYSTEM,,4.0,"Licensure Certification: Valid license or certification is required as needed, based on the job or specialty. Ability to understand and follow instructions."
Research Scientist,"Miami, FL 33136 (Allapattah area)",Vivex Biomedical,,3.8,"Under supervision of the Vice President of R&D, the research scientist is responsible for carrying out research activities on banked human tissues in support of…"
Fares and Pricing Business Analyst,"Miami, FL","Accelya World, S.L.U.","$70,000 - $95,000 a year",,Experience in analysing data to draw business-relevant conclusions. Qualifications: A bachelor’s degree in IT or Computer Science or equivalent.
Database Administrator,"Miami, FL 33131 (Downtown area)",City National Bank of Florida,,3.9,ETL/BI for data warehouse administration. Bachelor's Degree in Computer Science or related field. Specialized skills or sufficient experience with the use and…
Financial Intelligence Unit Analyst,"Miami, FL 33156","Intermex Wire Transfer, LLC",,3.5,Minimum Associates (2-year) degree or equivalent experience. BSA/AML knowledge; CAMS or FIBA certification preferred. Prepares recommendation letters to agents.
Data Analyst,"Hollywood, FL 33020 (Oakwood Hills area)",Stark Carpet,,3.4,"Work experience as a data analyst or in related field. Provide quality assurance of imported data, working with quality assurance analyst if necessary."
FUEL BID AND DATA ANALYST,"Miami, FL",Aegfuels,,,Work with AEG team to understand data needs and business performance metrics to build and maintain. Identify internal and external data sources to help answer…
Data and Reporting Analyst,"Coral Gables, FL","PayCargo, LLC","$45,000 a year",,1-2years of experience in an analytical position or equivalent experience through internships and/or educational analytics projects.
Business Analyst I,"Miami, FL",Igenomix,,2.3,"Report complex data to specific client, market or territorial utilization. Serve as a subject matter expert in data intelligence, trend forecasts and product…"
