job_title,location,company,salary,rating,summary
Associate Research Protocol Specialist,"Jacksonville, FL 32099 (Marietta area)",Mayo Clinic,,4.1,One year of experience in a clinical research setting or related field preferred. The needs of patients drive research at Mayo Clinic.
BUSINESS ANALYST,"Jacksonville, FL 32256",Selene Finance,,3.4,Assist senior leadership in identifying opportunities for improving business processes and portfolio performance through information systems and data trending.
CRM Business Analyst,"Jacksonville, FL 32099 (Marietta area)",Thermo Fisher Scientific,,3.5,Collect business requirements from business community and with the IT team to implement. Maintain and recommend suggestions to hygiene of CRM system business…
Senior Data Science Analyst,"Jacksonville, FL 32099 (Marietta area)",Mayo Clinic,,4.1,"Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required."
Wealth Management Business Management - Analyst,"Jacksonville, FL",Deutsche Bank,,3.8,"Experience with data management / database tools such as SQL, high dimensionality data from varying sources, as well as data visualization."
"Senior Data Engineer - Opportunity for Working Remotely Jacksonville, FL","Jacksonville, FL",Carbon Black,,3.6,Drive development of data products in collaboration with data scientists and machine learning engineers. Experience in big data technologies.
Associate Operations Analyst,"Jacksonville, FL",SS&C Technologies,,3.2,Resolve client inquiries & data related issues. Must be able to quickly gather and analyze data. Bachelor's degree from a 4 year college or university.
Business Intelligence Developer III,"Jacksonville, FL 32206 (Phoenix area)",Swisher International Inc.,,3.8,The BI Developer III is responsible for creating and managing BI and analytics solutions that turn data into valuable business insights.
Etl Data Engineer,"Jacksonville, FL",Intone Networks,,4.2,"Perform in depth & quick data analysis and data extraction activities for business stakeholders • Analyze source systems data to understand the data structures,…"
"Business Analyst I, FIS University Program","Jacksonville, FL 32204 (Mixon Town area)",FIS Global,,3.5,"Collect, analyze and present research on new and existing vendors with which the division does or is considering utilizing to achieve its business objectives."
"Business Process Analyst E, FIS University Program","Jacksonville, FL 32204 (Mixon Town area)",FIS Global,,3.5,Work closely with members of business and support organizations to jointly improve on relevant KPIs and recommend new solutions or processes into ongoing…
BUSINESS INTELLIGENCE DEVELOPER III,"Jacksonville, FL",Swisher International,,3.8,The BI Developer III is responsible for creating and managing BI and analytics solutions that turn data into valuable business insights.
"Intern, Business Systems Analyst, Summer FIS University Program 2021","Jacksonville, FL 32204 (Mixon Town area)",FIS Global,,3.5,"The team creates value for employees and clients by maximizing the value of enterprise data assets, re-imagining business-critical activities with intelligent…"
Research Analyst,"Jacksonville, FL",FSCJ,"$34,896 a year",4.4,"An analyst supports the development and dissemination of analytical data related to academic programs, strategic planning, accreditation, and enrollment trends."
Data Scientist I,"Jacksonville, FL 32225 (Regency area)",Crowley,,3.6,"Generates relevant, actionable insights based on iterative data analysis, translate data-driven output into business language, and to make appropriate…"
Implementation-Conversion Analyst I,"Jacksonville, FL 32207 (Spring Park area)",FIS Global,,3.5,Conversion/Implementation or Project Coordination experience. Conversion/Implementation or Project Coordination experience a plus! ADDED BONUS IF YOU HAVE:
