job_title,location,company,salary,rating,summary
Data Analyst,"Syracuse, NY",Excelacom,,3.2,"Bachelor’s Degree or higher. Responds to data inquiries from various groups within the organization. Performs data collection, analysis, validation and…"
Data Analyst/Assistant Research Scientist (part time),"New York, NY 10012 (Greenwich Village area)",New York University,$18 an hour,4.2,Cultivate deep familiarity with methodological approaches and data. Ability to manage complex research and analysis. Proficiency in SAS and/or R is required.
Business Intelligence Analyst,"New York, NY 10176 (Murray Hill area)",CBS Interactive,,3.5,"As a business intelligence analyst, you’ll lead data-driven analysis projects. Ability to analyze large raw data sets and convert the data into amazing…"
Business Data Analyst,"Melville, NY 11747",North American Partners in Anesthesia,,2.9,"1+ year of hands-on experience with MS SQL as a reporting analyst, data analyst, and/or business analyst. Define requirements based on user research and a deep…"
Data Scientist,"New York, NY",Northwestern Mutual,,3.8,This team focuses on developing data science models with broadly applicable use cases across multiple lines of business. Ability to tell a story with data.
"Administrator, Business Intelligence","Carle Place, NY 11514",1-800-Flowers,,3.7,Recycle servers or services as needed to maintain application performance and/or patching. Utilize notifications and alerts to notify users whenever their BI…
Data Analyst (Entry-Level) - Contract (JR1024308),"Edgewood, NY 11717",Broadridge,,3.5,Create adhoc reports and data extracts for internal associates and/or external clients. Ability to QA and troubleshoot data. Ability to set and meet deadlines.
Intelligence Operations Specialist,"New York, NY",US Department of Homeland Security,"$125,817 - $163,559 a year",3.8,"Presents formal briefings or written reports on topics or matters relating to terrorism, other threats to homeland security, or other national intelligence or…"
Business Performance Business Intelligence Analyst,"Endwell, NY 13760",Visions Federal Credit Union,,3.5,"Turns data into critical information to drive sound business decisions, that can result in more efficient and productive business operations, more effective…"
"Data Engineer, Analytics (Business Integrity)","New York, NY 10003 (Flatiron District area)",Facebook,,4.2,"Collaborate with engineers, product managers and product analysts to translate product goals into data requirements."
Research Data Associate,"New York, NY",NYU Langone,,4.1,"Extracts data for publications, or provides data collection from outside physicians offices. Inputs clinical and non-clinical data into the database and or case…"
Business Intelligence Data Engineer,"New York, NY",Major League Baseball,,4.2,"B.S. or M.S. in computer Science, equivalent engineering degree, or relevant practical experience. The MLBBi team is responsible for gathering data from varied…"
Junior Data Scientist,"New York, NY 10017 (Midtown area)",Memorial Sloan-Kettering Cancer Center,,4.2,Find correlations and dependencies between desired outcome data and various available data sources that would be predictive of it.
Research Scientist,"Peekskill, NY 10566",BASF Corporation,,4.1,Bachelor's degree and/or advanced degree in Chemistry or Chemical Engineering (Inorganic chemistry specialization is preferred).
Research Scientist,"Peekskill, NY 10566",BASF,,4.1,Bachelor's degree and/or advanced degree in Chemistry or Chemical Engineering (Inorganic chemistry specialization is preferred).
"Data Operations Analyst, BritBox","New York, NY 10036",BBC,,4.3,Assist Director of Product Analytics and business analysts execute monthly and on-going data reconciliation efforts for executive reporting dashboards.
Investigative Analyst,"New York, NY",New York District Attorney's Office,"$48,909 a year",4.4,"One year experience preferred, either as a paralegal in the criminal justice system or related field; or experience conducting online research or other work in…"
Data Science Intern - Research Scientist/Experimentation & Marketplace,"Brooklyn, NY 11201",Etsy,,4.3,"You have experience in or desire to learn Big Data technologies (e.g. BigQuery, pyspark, etc.). You have familiarity and experience or are interested in…"
"Data Scientist, Analytics, Intern","New York, NY 10003 (Flatiron District area)",Facebook,,4.2,Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into…
Data Analyst,"New York, NY 10038 (Financial District area)",Priceline.com,,4.0,
Data Analyst,"Roslyn, NY",St Francis,,3.5,"Collects data from multiple platforms, individuals, and departments. 2-5 years of experience in health care data analysis and reporting."
"Data Analyst - Environmental, Social, and Governance","New York, NY",Bloomberg,,3.9,"A bachelor's degree, preferably with combined studies in Information Systems and Finance or related business and STEM fields."
Data Scientist Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,,,"Amounts of data using SQL, R and Excel. Using data science, machine learning and cloud technologies. Ability to understand and interpret data within the context…"
Data Scientist,New York State,Unite Us,,5.0,"Experience working with health data, or in a healthcare related field preferred. Experience with healthcare data and analytics is preferred."
"Data Analyst, Compliance","New York, NY 11221 (Bedford Stuyvesant area)",Weill Cornell Medicine,,4.0,"Is the subject matter expert for data analytics, database management and data extracts. Serves as SME for data analytics, database management and data extracts…"
Business Analyst,"Brooklyn, NY",Cyber Tech Group,"$65,000 a year",,"Providing legal and scholarly research; Keen eye for spotting data trends; Candidates can look forward to regular client contact, a role in business development…"
Business Analyst-Banking,"White Plains, NY 10601",Sterling National Bank,,2.9,Understand product data lineage and data governance framework to assist our Data team with when creating new data points to data feeds.
Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,,4.2,Completion of Master's degree in disciplines aligned with CDS faculty research by the start date.
"Data Reporting Engineer, Spotlight","New York, NY 10007 (Tribeca area)",Flatiron Health,,4.3,"Help define business logic rules, using SQL and Python to turn those rules into derived data variables. Integrate and link new data sources, work with upstream…"
Data Scientist - Propositions and Partnerships,"New York, NY",Spotify,,4.3,"Interested in or have experience with business strategy or management consulting. You have 3+ years of professional experience in data science, analytics,…"
Data Engineer,"Rochester, NY",Performix,,4.8,Analyze raw data sources and data transformation requirements. 2+ years of experience building and maintaining automated data pipelines and data assets using…
"Analyst, Quantitative Research","New York, NY 10010 (Gramercy area)",MarketCast,,4.3,"Have a bachelor’s degree or higher in the social sciences, economics, business, marketing, or statistics, or related disciplines. 401(k) with company match."
Associate Data Scientist- Ad Studio,"New York, NY",Spotify,,4.3,"Work closely with cross-functional teams of data scientists, user researchers, product owners, designers, engineers, and business and marketing team…"
"Econometric Data Scientist, International","New York, NY",Warner Music Group,,4.1,Interact with data engineering teams to identify the data needs for mathematical models. Masters Degree with 2 years of work experience or commensurate in…
Data Analyst,New York State,Unite Us,,5.0,You are proficient with a query language or data flow/manipulation tools (e.g. SQL) and able to pull data from a database or a reporting tool.
Data Engineer,New York State,Rhino,,,"Experience with building ETL pipelines, data warehousing and data modeling. Experience with data pipeline and workflow management tools such as Airflow or Luigi…"
"Sr. Data Analyst, Business Intelligence","New York, NY",Vimeo,,,2+ years of experience as a senior data analyst. Expert knowledge of Microsoft Excel / Google Sheets and data visualization.
Data Analyst,"Long Island City, NY 11101",Fund For Public Health In New York Inc,,,"Works closely with DOHMH research scientists and technical staff to plan, develop, implement, and evaluate protocols and research related to CIR data quality…"
Technology Operations Analyst (Data),New York State,Unite Us,,5.0,Experience in working with data quality analysts and data engineers to ensure data processing is implemented accurately and meets operational SLAs.
eCom Senior Business Intelligence Engineer,"New York, NY",PepsiCo,,3.8,"Architect pipelines, data models, data lakes, data warehouses. PepsiCo’s Data Science and Analytics group is a team of data engineers, BI developers, technology…"
Clinical Research Data Analyst,"New York, NY",Columbia University,,4.1,"Use SQL to analyze data quality - checking for conformance, completeness, and plausibility of EHR data; Develop programs in Python to automatically detect,…"
"Data Analyst, Retail Media","New York, NY 10016 (Gramercy area)",Criteo,,4.0,This position requires working with large sets of data to solve complex business problems by thinking strategically and proposing innovative solutions.
Investment Data Analyst,"New York, NY",Balyasny,,4.0,"Ability to perform data analysis and wrangle the data using Python. Serve as an in-house expert on data, leveraging your knowledge of vendor and market data…"
Data Engineer I,"New York, NY",Conde Nast,,4.0,1+ years experience building streaming or batch data pipelines. Build batch and streaming data pipelines capable of processing large volumes of data.
Data Scientist,"Niskayuna, NY 12309",Naval Nuclear Laboratory,,2.8,BS degree in engineering or Bachelor's degree in a science related field from an accredited college or university and a minimum of nine years of relevant…
Business Analyst,"Brooklyn, NY",Cyber Tech Group,"$65,000 a year",,"Providing legal and scholarly research; Keen eye for spotting data trends; Candidates can look forward to regular client contact, a role in business development…"
Business Analyst-Banking,"White Plains, NY 10601",Sterling National Bank,,2.9,Understand product data lineage and data governance framework to assist our Data team with when creating new data points to data feeds.
Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,,4.2,Completion of Master's degree in disciplines aligned with CDS faculty research by the start date.
"Data Reporting Engineer, Spotlight","New York, NY 10007 (Tribeca area)",Flatiron Health,,4.3,"Help define business logic rules, using SQL and Python to turn those rules into derived data variables. Integrate and link new data sources, work with upstream…"
Data Scientist - Propositions and Partnerships,"New York, NY",Spotify,,4.3,"Interested in or have experience with business strategy or management consulting. You have 3+ years of professional experience in data science, analytics,…"
Data Engineer,"Rochester, NY",Performix,,4.8,Analyze raw data sources and data transformation requirements. 2+ years of experience building and maintaining automated data pipelines and data assets using…
"Analyst, Quantitative Research","New York, NY 10010 (Gramercy area)",MarketCast,,4.3,"Have a bachelor’s degree or higher in the social sciences, economics, business, marketing, or statistics, or related disciplines. 401(k) with company match."
Associate Data Scientist- Ad Studio,"New York, NY",Spotify,,4.3,"Work closely with cross-functional teams of data scientists, user researchers, product owners, designers, engineers, and business and marketing team…"
"Econometric Data Scientist, International","New York, NY",Warner Music Group,,4.1,Interact with data engineering teams to identify the data needs for mathematical models. Masters Degree with 2 years of work experience or commensurate in…
Data Analyst,New York State,Unite Us,,5.0,You are proficient with a query language or data flow/manipulation tools (e.g. SQL) and able to pull data from a database or a reporting tool.
RESEARCH ANALYST,"New York, NY",Precision Consulting,,4.0,"Qualitative Analysis – Coding qualitative data such as interviews or focus group transcripts, conducting the analysis using qualitative analysis software, and…"
Data Scientist - Publishing Royalties,"New York, NY",Spotify,,4.3,You have experience working with financial data and/or performing data reconciliations and quality assurance testing.
Data Scientist,"New York, NY 10286 (Tribeca area)",BNY Mellon,,3.5,"As a data scientist, you will be embedded with the engineering team as the primary subject matter expert realated to data analysis, natural language processing…"
BUSINESS ANALYST,New York State,Powermind Solutions,,,Development requirements documentation for the interface to extract appropriate IBR compliant data from the new RMS and electronically transmit that data to the…
Data Engineer,New York State,"Lokavant, Inc.",,,"Experience integrating data from disparate data sources. Experience with healthcare data, ideally clinical/operational clinical trial data."
BUSINESS ANALYST,"New York, NY",SunCity Properties,,,Solid knowledge of marketing & data analysis/reporting procedures for real estate industry. Gather & analyze statistical data on customer preference & sales to…
Senior Data Engineer,New York State,BentoBox,,4.0,Expert knowledge of SQL and modern data platforms. 5+ years of experience working with large data sets to surface actionable insights and inform decisions.
"Data Analyst, Business & Customer Insights - HBO Max","New York, NY",Turner,,4.0,Delivering business intelligence and data visualization dashboard solutions. Looker or Tableau data visualization design and development.
"Data Scientist, Enterprise, Trello (US Remote)","New York, NY",Atlassian,,4.6,"U.S. Bachelor or higher degree, or its equivalent, in Computer Science, Information Technology, Information Systems Management or a closely related field of…"
Research Scientist 1 (Biostatistics or Health Services Research) – 63312 OR Research Scientist 2 (Biostatistics or Health Services Research),"Albany, NY 12237","Health, Department of","$56,604 - $88,124 a year",,The Research Scientist will work under the direction of a senior level research scientist and will perform research activities including: problem definition and…
Business Analyst (SE),"New York, NY 10003 (Flatiron District area)",Facebook,,4.2,"3+ years of work experience involving analytical rigor as typically seen in, but not restricted to, functions like finance, business operations, etc. or…"
Data Analyst Intern,"New York, NY 10018 (Clinton area)",PayPal,,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.
Research Engineer -CFD/Methods,"Niskayuna, NY 12309",General Electric,,4.0,At least 2 years of industrial or research experience in turbomachinery aerodynamics and/or wind turbine aerodynamics.
"Data Analyst, Enterprise","New York, NY",One Drop,,,"3+ years experience in a data or business analyst role, building data models and analytics visualizations. This role seeks to develop solutions by automating…"
Data Quality Analyst – SQL,"Manhattan, NY 10001 (Chelsea area)",Saama Technologies Inc,,,"Works with business stakeholders to gather requirements, conduct data profiling, establish business. Develop recommendations on how the business can constantly…"
Business Intelligence Developer,"New York, NY 10016 (Gramercy area)",Chegg,,3.9,Supporting analysts with data queries and dashboard creation used for business decision making and performance monitoring. Proficiency in writing complex SQL.
Data Scientist,New York State,Rhino,,,"As a member of the Data Science Team at Rhino, you will be partnering with Data Engineers and business teams to solve business problems by doing scalable…"
Data Analyst,"Hicksville, NY 11801",Mahima Soft,,,"Identify, analyze, and interpret trends or patterns relating to key performance indicators in complex data sets. Interpret data and analyze results."
"Data Analyst, Enterprise","New York, NY",One Drop,,,"3+ years experience in a data or business analyst role, building data models and analytics visualizations. This role seeks to develop solutions by automating…"
Business Analyst,"Jamaica, NY 11432",Bartlett Dairy Inc,,3.1,The business analyst role has the responsibility to work with business leaders to achieve data driven goals. Gain an understanding of business process and help…
"Machine Learning Engineer, Data",New York State,"Vox Media, LLC",,3.8,"Experience in data instrumentation and monitoring. Our team works closely with data science, product and editorial teams to ingest and transform data, develop…"
Senior Data Analyst (Remote),"Horseheads, NY 14845",Salient,,2.8,"3 to 5 years of professional work experience focusing on data analysis in Medicaid, Medicare, or private insurance data. Plan and execute data collection."
QA Tester,"Troy, NY",Warner Bros. Entertainment Group,,4.2,Maintain bugs in the database through their entire life cycle. WB Games New York works with some of the top talent in the game industry to build online…
Data Analyst,"New York, NY",Glassview Media,,,"Able to collect, synthesize and report data. The individual will determine best practices and develop actionable insights and recommendations for the current…"
Data Manager/Research Analyst- Office of Community Colleges and Education Pipeline- Albany,"Albany, NY",State University of New York at Albany Research Fo...,,4.2,Identify and refine existing mechanisms for collecting or mining data to assess the outcomes or impacts of SUNY Achieve and other grant funded initiatives.
Sr. Data Analyst,"New York, NY 10036",BBC,,4.3,"This role is a blend of data management and insight reporting from resulting data analysis. 3-5 years’ experience in data analysis – prior work in streaming,…"
Data Engineer,"Niskayuna, NY 12309",Naval Nuclear Laboratory,,2.8,BS degree in engineering or Bachelor's degree in a science related field from an accredited college or university and a minimum of nine years of relevant…
Data Scientist,"New York, NY 10036 (Midtown area)",Source Enterprises,,4.3,"Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs:"
Data Monitoring Analyst,"Orchard Park, NY",IQVIA,,3.8,Perform data analysis to resolve data issues. Monitor daily transmissions of inbound data to ensure required data transactions are received.
NLP Data Scientist Internship,New York State,Vee,,3.9,"You will help build Vee's data capability and data strategy. Practical experience with multiple statistical languages (SAS, R, Pandas), data processing,…"
Data Engineer - Creator Studio,"New York, NY",Spotify,,4.3,"You are knowledgeable about data modeling, data access, and data storage techniques. You know how to write distributed data pipelines in Java or Scala."
Data Analyst,"Rochester, NY","Summit Technology Services, Inc",,,"At least 4 years experience using databases and SQL tools for data analysis, data mining and/or reporting. At least 4 years experience using databases and SQL…"
Data Analyst,"New York, NY",MealPal,,4.1,"️ Mine data for answers to business challenges. ️ Develop insights and recommend business strategy based on data. ️ Generate, maintain, and automate reporting."
Research Scientist,"East Setauket, NY",Renaissance Technologies,,,"A demonstrated capacity to do first-class research. A degree in computer science, mathematics, physics, statistics, or a related discipline."
Data Analyst,"New York, NY",Nautilus Labs,,,"2+ years working in data mining, analysis, report building, data visualization and insights delivery. We are looking for a data analyst who is highly analytical…"
AI Research Scientist,"New York, NY",Elemental Cognition,,,"Experience in one or more of the following disciplines: natural language processing, cognition, knowledge representation, automated reasoning, neural networks,…"
Business Analyst,"Brooklyn, NY 11220 (Sunset Park area)",Metropolitan Jewish Health System,,3.6,"Testing, data validation, and data flow experience is a plus. Technical experience or aptitude is essential. HS diploma; Bachelor's Degree or Associates Degree…"
