job_title,location,company,salary,rating,summary
Sr. Business Systems Analyst,"Grove City, OH 43123","Venture Solutions, Inc.",,,Ability to adapt easily as procedure and/or business needs change. Interface with developers for functional requirements documentation in coding new business…
"Intern (Associate Market Analyst, Business Development)","Columbus, OH",Pearson,$20 an hour,3.7,Perform market research and analysis. Evaluate costs and benefits of multiple actions and/or solutions and provide data-driven recommendations.
Competitive Intelligence Analyst,"Columbus, OH",Root Insurance Company,,3.7,"Experience with SQL or similar programming language. Exposure to S&P Market Intelligence tools, Verisk/ISO data, LexisNexis data, other industry databases and…"
Data Scientist,"Columbus, OH",Root Insurance Company,,3.7,Building data processing pipelines to quickly iterate on research ideas and put them into production. Dealing with the flood of sensor data requires us to build…
Business Process Analyst 2 (PN 20079777 & 20083761),"Columbus, OH 43215 (Downtown area)",State of Ohio Jobs,$33.84 an hour,3.8,"Completion of undergraduate core program in computer science, information systems, or business administration; 36 mos."
Business Analyst,"Columbus, OH",CapB InfoteK,,,Inform the business analysts about the business impact OR improvements with the new solution (20 percent). Designing and implementing functional configuration…
"Business Analyst, eCommerce","Columbus, OH","Big Lots, Inc.",,3.5,"Assists business partners in identifying and clarifying requirements, current issues, data challenges, and improvements to current business processes."
Security Engineer – Encryption Administrator,"Columbus, OH 43215 (Downtown area)",Crowe,,3.5,"Bachelor's degree in Computer Science, MIS, Information Systems or a related engineering field, or equivalent experience."
Business Analyst,"Columbus, OH 43215 (Downtown area)",WebPresented,,,"Should have acquired or be working towards a degree in MIS, Marketing, Computer Science, or a related field. Skilled in Microsoft Excel or similar productivity…"
Senior Data Engineer,"Columbus, OH",Maven LLC,,2.0,Create models for new data warehouse development and/or changes to existing data stores leveraging star schema and data modeling best practices.
BUDGET ANALYST,"Springfield, OH",US Department of the Air Force,"$66,450 - $86,390 a year",4.4,"Substitution of Education for Specialized Experience: To qualify for GS-0560 Title 5 Excepted Service positions, on the basis of completed undergraduate or…"
"Data Scientist, Telematics","Columbus, OH",Root Insurance Company,,3.7,Dealing with the flood of sensor data requires us to build large-scale systems that ride the big data wave rather than being submerged by it.
Maintenance Technician 1,"West Jefferson, OH 43162",TARGET,$25.25 an hour,3.6,2+ years apprenticeship or equivalent experience in the Mechanical or Electrical field. Degree from a vocational school or college with a focus in the…
Data Engineer,"Columbus, OH 43215 (Downtown area)",State Auto Insurance Companies,,3.1,"Minimum of five years of prior data engineer experience. Apply strong Data Governance principles, standards, and frameworks to promote data consistency and…"
CCB - Quantitative Modeling/Data Science - Associate,"Columbus, OH","JPMorgan Chase Bank, N.A.",,3.9,Significant experience working with very large scale (structured and unstructured) data. Forecasting the performance of branches or bankers to improve the…
Business Analyst Senior (Supporting Telematics),"Columbus, OH 43215 (Downtown area)",State Auto Insurance Companies,,3.1,"7+ years of experience as a professional business analyst required: planning, eliciting, analyzing, validating, documenting, and communicating requirements for…"
Data Analyst - Kubernetes - remote,"Columbus, OH",Sciata,,,We are looking for a Data Analyst for a two (2) year contract in Columbus with one of our top clients in the financial industry. Paid time off / holiday pay.
Sr. Database Analyst (Remote),"Grove City, OH 43123","Venture Solutions, Inc.",,,"Identifies data sources, constructs data decomposition diagrams, provides data flow diagrams and documents the process. NET Framework and/or Java."
"Principal Data Scientist, Pricing","Columbus, OH",Root Insurance Company,,3.7,"The ideal candidate will have experience in Private Passenger Auto, with expertise in the research process, evaluation protocols, and post-deployment analyses."
Data Engineer Sr,"Columbus, OH",Huntington Bank,,3.6,"Experience with ETL or database programming. Strong experience with business intelligence and data mining tools such as Microstrategy, Tableau and SAS…"
Structuring Analyst,"Dublin, OH 43017",IGS Energy,,3.5,"Innovative - Willingness to bring new ideas to the table and push the boundaries of what our team can achieve Decisive – Makes well-informed, effective and…"
Business Analyst,"Columbus, OH",Huntington Bank,,3.6,"Provides basic support for assigned business process and/or system which includes the following: - Maintains, monitors and updates assigned business process and…"
"Building Engineer, Critical Data Centers","Springfield, OH",BGC Partners,,3.6,High School diploma or General Education Degree (GED). Minimum of 5 years previous critical data center operations engineering experience.
Data Scientist,"Columbus, OH",auticon,,,"Prior data science experience preferred, but willing to consider new data scientists depending on background. Write SQL, NoSQL, or similar data queries."
Salesforce CRM Business Analyst,"Columbus, OH",ACS Group,,3.3,"The Analyst participates with internal business areas to solicit end user requirements, gains understanding of purposes or goals of various processes, offerings…"
Business Intelligence Specialist,"Columbus, OH",Sedgwick,,3.0,Experience with Cognos/Tableau business intelligence tools. 5 or more years of experience developing ETL processes against dimensional/star-schema based data…
Data Engineer Senior,"Columbus, OH",PNC Financial Services Group,,3.6,"Specific duties include: (i) developing, supporting and implementing data solutions for multiple applications in order to meet business objectives and user…"
Business Process Analyst 2 - Temporary/Special Project,"Columbus, OH",State of Ohio Jobs,$33.84 an hour,3.8,"Completion of undergraduate core program in computer science, information systems, or business administration;"
"Applications Developer, Data Engineer","Columbus, OH",Mast Global,,3.7,Scripting experience using Python or R or Perl. This individual will be part of a team to design and build data pipelines into our data platforms that meets…
Business Analyst,"Columbus, OH 43215 (Downtown area)",American Electric Power,,4.0,Coordinate CRM data clean-up efforts and develop business rules and routine processes to ensure accurate and comprehensive data in the system.
Structuring Analyst,"Dublin, OH 43017",IGS Energy,,3.5,"Innovative - Willingness to bring new ideas to the table and push the boundaries of what our team can achieve Decisive – Makes well-informed, effective and…"
Business Analyst,"Columbus, OH",Huntington Bank,,3.6,"Provides basic support for assigned business process and/or system which includes the following: - Maintains, monitors and updates assigned business process and…"
"Building Engineer, Critical Data Centers","Springfield, OH",BGC Partners,,3.6,High School diploma or General Education Degree (GED). Minimum of 5 years previous critical data center operations engineering experience.
Data Scientist,"Columbus, OH",auticon,,,"Prior data science experience preferred, but willing to consider new data scientists depending on background. Write SQL, NoSQL, or similar data queries."
Salesforce CRM Business Analyst,"Columbus, OH",ACS Group,,3.3,"The Analyst participates with internal business areas to solicit end user requirements, gains understanding of purposes or goals of various processes, offerings…"
Business Intelligence Specialist,"Columbus, OH",Sedgwick,,3.0,Experience with Cognos/Tableau business intelligence tools. 5 or more years of experience developing ETL processes against dimensional/star-schema based data…
