job_title,location,company,salary,rating,summary
Jr. Data Scientist,"Las Vegas, NV",Reflex Media Inc,,,"Bachelors in Computer Science, Information Systems or related field or equivalent work experience. Strong interest and/or experience in Machine Learning and/or…"
Business Analyst II,"Las Vegas, NV 89128 (Desert Shores area)",SilverSummit Healthplan,,3.2,"2-4 years of business process or data analysis experience, preferably in healthcare. Support business initiatives through data analysis, identification of…"
Operations Research Analyst,"Nellis AFB, NV","Systems Planning and Analysis, Inc.",,3.7,"5+ years' operations research analyst experience at unit HQ or above. Operations research, data science or similar technical BS degree from accredited college…"
Data Engineer,"Las Vegas, NV 89148 (Spring Valley area)",Axos Bank,,3.0,"Technical expertise in the areas of data profiling, data mining and data analytics. Support production data loads and ongoing refreshes of the database systems."
Data Analyst,"Las Vegas, NV",Wilen Group,,3.3,"Develop, test and debug various script, macro or configuration-based data processing solutions. Bachelor’s Degree in Information Systems or related discipline…"
ASSISTANT/ASSOCIATE ENGINEER (DEVELOPMENT),"Las Vegas, NV 89122 (Whitney area)",Clark County Water Reclamation District,$30.77 - $47.71 an hour,4.2,"This class is responsible for providing assistance to higher level engineers in the areas of research, data collection, project administration and preparation…"
MS SQL DATABASE ADMINISTRATOR,"Las Vegas, NV 89118 (Spring Valley area)",Boyd Gaming Corporate,,3.2,High school diploma or equivalent required; Bachelor’s degree in a computer science discipline or a comparable level of experience preferred.
Senior Payroll Project Analyst,"Las Vegas, NV 89146 (Buffalo area)",NV Energy,"$81,800 a year",3.8,"Bachelor's degree in business, accounting, human resources management or related field from an accredited school and 6 years of progressive working experiences…"
Sr. Business Analyst with data mapping (Healthcare),"Henderson, NV",Agama Solutions,,3.8,IT business analyst with experience in documenting and managing requirements. Strong Semantic Design and data modeling skills.
Image Processing Scientist/Engineer,"Las Vegas, NV",Imatrex,,,"Pre-processing algorithms to correct image data prior to reconstruction. Recent degree in engineering, physics, or math, preferably a Ph.D. (B.S./M.S also…"
"SAP Data Analyst @ Los Vegas, Nevada. Please share profile ASAP","Las Vegas, NV",iknowvate technologies,,,Has dealt with data generation tools and data strategies to deploy training needs. Ability to take data requirements and mine for training data based on…
Senior Data Engineer,"Las Vegas, NV",Symbio,,,5+ years of experience working with data science and big data solutions. Bachelor’s degree in computer sciences or engineering.
Financial Analyst,"Las Vegas, NV 89119",Vensure Employer Services,,3.2,"Reconcile transactions by comparing and correcting data. BS degree in Finance, Economics or related field. Identify trends, advise company and recommend actions…"
Port Strat Analyst I,"Summerlin, NV",PennyMac,,3.0,Trend Analysis: Analyze production trends for the business area(s) he or she supports. Programmed in MS Visual Basic or Excel Macro.
SECURITY OFFICER INTELLIGENCE,"Las Vegas, NV 89109 (The Strip area)",Caesars Entertainment,,3.8,Understanding of data analysis as it applies to security and other business needs. Understanding of data analysis as it applies to security and other business…
Database Administrator Sr / Nellis AFB,"Nellis AFB, NV 89191",LOCKHEED MARTIN CORPORATION,,4.0,"Experience with COTS database software and tools (Oracle, SQL and/or Siebel). Experience in Database Administration and/or Development."
Flight Data Analyst,"Nellis AFB, NV 89191",Intelligent Waves LLC,,3.9,Analyzes the use of archived data to optimize the use of existing database programs. Must have DOD Secret Level Clearance or higher. Must be a US Citizen.
Data Engineer III- Python,"Las Vegas, NV 89101 (Cultural Corridor area)",Anthem,,3.7,"Requires BA/BS degree or technical institute training and 3+ years experience on one platform, multi database, multi language or multi business application, or…"
Senior PeopleSoft System Administrator/Developer (Senior Applications Analyst),"North Las Vegas, NV 89030 (North Last Vegas area)","Mission Support and Test Services, LLC",,3.0,"Work closely with the users to support the existing application, gather business requirements and assist them with developing sound business solutions with best…"
PROGRAMMER ANALYST I/II,"Las Vegas, NV","Clark County, NV",$26.36 - $44.17 an hour,4.1,Uses standard office equipment in the course of the work; may drive a personal or County motor vehicle or be able to provide for appropriate transportation…
SQL Database Engineer II,"Las Vegas, NV",Aristocrat Technologies,,3.4,"Bachelor’s degree in Computer Science or related field, or its equivalent. Possesses knowledge of complex database and object oriented concepts."
