job_title,location,company,salary,rating,summary
Data Scientist,"Houston, TX",Energy Services Inc,"$128,000 - $148,000 a year",3.2,Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop). Analytical mind and business acumen.
BUSINESS ANALYST,"Houston, TX 77046 (Montrose area)",Sunnova Energy Corp,,2.8,"Utilize data and analytics to help drive critical business decisions. Bachelor’s degree in business, finance, or other related field required."
"Data Analyst, Reporting","Houston, TX 77002 (Downtown area)",Harris County,,3.7,Experienced with business intelligence software such as PowerBI or comparable programs to extract data and analyze complex databases. Based on 26-Pay Periods.
"Research Scientist - Houston, TX","Houston, TX 77040",Preferred Proppants LLC,,,"Align work with business needs and relate technical expertise to business objectives. With limited supervision, design and execute experiments to evaluate…"
Senior Business Intelligence Analyst,"Houston, TX 77024 (Greater Memorial area)",US Venture,,3.3,Transforms data into actionable insights and applies data science methods to address business challenges. Transforms data into actionable insights to address…
Database Administrator,"Houston, TX","Transcore, LP",,3.4,Provide first line of software/database support for our Infinity installations during normal business and off hours. Have firsthand experience with Dynamic SQL.
Data Scientist / Machine Learning- Engineer,"Houston, TX",Hewlett Packard Enterprise,,3.8,Ability to research and creatively apply new machine learning / AI methods that fulfill business use case objectives.
Business Analyst,"Houston, TX 77007 (Rice Military area)","SCI Shared Resources, LLC",,3.1,"Leads efforts to define business and systems requirements including documenting processes, business requirements and resulting technology needs."
Business Analyst,"Houston, TX",Houston Methodist,,4.2,"O Experience in clinical, business or financial operations preferred. Knowledge and appreciation of business concepts and requirements as applicable to a large…"
Research Scientist,"Houston, TX",Pharma,$30 - $35 an hour,,"Obtains and analyzes experimental data. Ph.D or MS with entry level experience. Supports design and execution of experiments, including data analysis and…"
Data Engineer,,Checkmate Partners,"$160,000 - $250,000 a year",,"Working cross-functionally with data scientists, backend engineers and product managers to design and implement, and new data models to support the product."
Data Engineer - Business Intelligence,"Houston, TX 77056 (Greater Uptown area)",alliantgroup,,2.6,"Convert prototype models and data pipelines built by data scientists for use in production. Collaborate with data scientists, product management, and web…"
Business Intelligence Financial Analyst,"Houston, TX 77040",Allegiance Bank,,4.2,2-3 years of experience in financial analysis and/or data analytics. Review data integrity by applying reconciliations and other checks to data from various…
