job_title,location,company,salary,rating,summary
Data Center Engineer,"Atlanta, GA 30303 (Five Points area)",Expedite,"$70,000 - $80,000 a year",,BSc degree in Computer Science or related field or equivalent. Proven experience in a network administrator role. Cat 5 or cat 6: 2 years (Preferred).
Business Analyst II,"Atlanta, GA 30339",First Citizens Bank,,3.6,May serve as an analytics resource to wider organization or business units. May occasionally guide less experienced analysts or assist in development of process…
Business Analyst Intern II,"Atlanta, GA",Anthem,,3.7,"Graduate student in Healthcare domains scientific computing, data and analytics, business analytics, or related field."
Data Analyst,"Alpharetta, GA 30022",Alois Staffing,$15 - $21 an hour,4.4,"Bachelor’s degree or higher in business, information management, finance, or a related field. Use computer software to collect, compile, and review business…"
Data Analyst,"Atlanta, GA",Ursi Technologies Inc,"$45,606 - $123,271 a year",,Modify existing databases and database management systems and/or direct programmers and analysts to make changes. Familiarity with Oracle and DB2 is preferred.
Business Analyst ( Junior),"Alpharetta, GA",Computing Concepts Inc,Up to $62 an hour,,"Assess business process and system inefficiencies. Identify, create and facilitate process design changes by conducting business and systems process analysis…"
CRM Business Data Analyst II,"Atlanta, GA 30338",Southeastern Data Cooperative,,2.6,"Supports customers in the data analysis process with data acquisition, preparation, and presentation. May customize customer use of database systems by writing…"
Data Analyst,"Atlanta, GA 30334 (Downtown area)",Georgia Department of Law,,4.4,2 years of experience as analyst or related position within law enforcement or prosecuting agency. Using databases and social media to research or locate…
Data Analyst,"Kennesaw, GA 30144",LendingPoint Consolidated Inc,,,Responsible for data analyses and modeling of company data. Build dashboards and data reports using tools such as DOMO and/or Tableau.
Business Intelligence SQL Developer,"Norcross, GA 30092",Penn Foster,,3.6,Perform all routine database administration tasks to ensure all database servers and databases operate at optimal performance level.
Business Intelligence Development Engineer,"Atlanta, GA",Fusion Connect,,2.6,Technical coordination of backend SQL data validation with data architects. Data discovery against internal OSS data as well as external data such as Sales…
Business Analyst (Data Migration),"Atlanta, GA 30301 (Buckhead area)",Sovos Compliance,,3.3,"Audit existing systems and identify errors or inconsistencies with business needs. Create a data migration plan and manage the complete data conversion,…"
Data Analyst II (Atlanta),"Atlanta, GA 30326 (Buckhead area)",BrightBytes,,,"You’ll be working directly with our customers and data research partners to bring our student-data-powered solutions into districts, schools, and classrooms."
Data Analyst,"Atlanta, GA 30305 (North Buckhead area)","Lockton, Inc.",,3.9,Integrates data from multiple data sets into relevant systems for reports publication. Gathers new reporting requirements from business users and coordinate…
