job_title,location,company,salary,rating,summary
Data Warehouse Administrator,"Arlington, TX 76017 (Southwest area)",Texas Trust Credit Union,,3.8,"Creates and maintains a data dictionary in collaboration with the Data Analytics team, providing guidance for developers, designers, data analysts, and analysts…"
Senior Analyst; Data Intelligence,"Dallas, TX 75244",Cresa,,4.2,
Supply Chain Data Analyst,"Dallas, TX",Scottish Rite for Children,,4.4,Review and interpret data reports to identify pricing or quantity discrepancies; ensure that discrepancies are resolved; seek direction or advisement from…
Data Engineer I (Data Warehouse Developer),"Richardson, TX 75082",Texas Capital Bank,,3.8,Bachelor’s degree in computer science or MIS related area required or equivalent experience. 1-4+ years of experience as ETL/BI developer working with large…
Mortgage Business Intelligence Analyst,"Irving, TX",BOK Financial,,3.6,"You will be part of our Mortgage Customer Service Experience, where you will be the business analyst expert and liaison for the business line."
Data Analyst,"Dallas, TX",lalamove,,,1-2 years of work experience in a business intelligence or data analytics role. Troubleshoot issues with data processing. Validate data on import / export.
Business Analyst - Health Plans,"Irving, TX 75038 (Cottonwood area)",Christus Health,,3.8,"Interface Analysis - Understand technology infrastructure and how it interconnects, including sharing data to achieve a business goal."
Business Intelligence Developer II,"Dallas, TX","HKS, Inc.",,3.8,Typically with 3 – 5 years of experience in business intelligence systems. Assists with development of data lake structures. Eager to learn and innovate.
Business Intelligence Analyst Internship (Part-Time),"Dallas, TX 75240 (Far North area)","DeWolff, Boberg & Associates",,3.1,"Assessing client’s available data, planning, developing data integration services using MS SQL Server and Talend ETL."
"Analyst II, Business Systems (226 Days)","Dallas, TX",Dallas Independent School District,"$87,435 a year",3.6,Code database descriptions and specify identifiers of database to management system. Responsible for coordinating and implementing security measures for the…
Business/Tech Analyst,"Irving, TX 75062 (Northwest area)",Citi,,3.9,"Develop creative technical solutions to meet business needs and manage complex, high volume applications in partnership with business partners and stakeholders."
Data Scientist Sr. Associate,"Lewisville, TX","JPMorgan Chase Bank, N.A.",,3.9,"Experience across broad range of modern analytic and data tools, particularly Python/Anaconda and/or R, XGBoost, Tensorflow and/or Keras, Spark, Hive, SQL."
Data Research Analyst,"Plano, TX",Advithri Technologies,,,Initialize or enter follow-up information into the Argus affiliate database. Enter reviewed information in the data SharePoint accordingly and run monthly…
Data Analyst,"Dallas, TX 75247 (Northwest Dallas area)",Eurpac Service Incorporated,,,Provides data analysis in support of business goals through analysis of data and relationships in a data warehouse environment.
Data Analyst,"Dallas, TX 75201",HealthMark Medical Group,,,The data analyst serves as a gatekeeper for the organization's data so stakeholders can understand data and use it to make strategic business decisions.
Data Analyst,"Dallas, TX",lalamove,,,1-2 years of work experience in a business intelligence or data analytics role. Troubleshoot issues with data processing. Validate data on import / export.
Business Analyst - Health Plans,"Irving, TX 75038 (Cottonwood area)",Christus Health,,3.8,"Interface Analysis - Understand technology infrastructure and how it interconnects, including sharing data to achieve a business goal."
Business Intelligence Developer II,"Dallas, TX","HKS, Inc.",,3.8,Typically with 3 – 5 years of experience in business intelligence systems. Assists with development of data lake structures. Eager to learn and innovate.
Business Intelligence Analyst Internship (Part-Time),"Dallas, TX 75240 (Far North area)","DeWolff, Boberg & Associates",,3.1,"Assessing client’s available data, planning, developing data integration services using MS SQL Server and Talend ETL."
"Analyst II, Business Systems (226 Days)","Dallas, TX",Dallas Independent School District,"$87,435 a year",3.6,Code database descriptions and specify identifiers of database to management system. Responsible for coordinating and implementing security measures for the…
Business/Tech Analyst,"Irving, TX 75062 (Northwest area)",Citi,,3.9,"Develop creative technical solutions to meet business needs and manage complex, high volume applications in partnership with business partners and stakeholders."
Data Scientist Sr. Associate,"Lewisville, TX","JPMorgan Chase Bank, N.A.",,3.9,"Experience across broad range of modern analytic and data tools, particularly Python/Anaconda and/or R, XGBoost, Tensorflow and/or Keras, Spark, Hive, SQL."
Data Research Analyst,"Plano, TX",Advithri Technologies,,,Initialize or enter follow-up information into the Argus affiliate database. Enter reviewed information in the data SharePoint accordingly and run monthly…
Data Analyst,"Dallas, TX 75247 (Northwest Dallas area)",Eurpac Service Incorporated,,,Provides data analysis in support of business goals through analysis of data and relationships in a data warehouse environment.
Data Analyst,"Dallas, TX 75201",HealthMark Medical Group,,,The data analyst serves as a gatekeeper for the organization's data so stakeholders can understand data and use it to make strategic business decisions.
Data Analyst,"Grapevine, TX 76051",AFG.tech,,,"Execution of data validation, profiling, auditing and data cleansing activities. Identify opportunities for business process improvements."
Analyst,"Dallas, TX",Greystar,"$40,000 a year",3.6,"Will be responsible for maintaining national data sets and existing reporting within Excel, Power BI, and internal business intelligence platform."
Data Scientist,"Irving, TX",Luminant Generation Company LLC,,3.8,Must be currently enrolled in a 4-year institution of higher education and pursuing a Bachelor of Science or master’s degree in Data Science.
Business Analyst - Banking,"Richardson, TX",ARGO,,3.4,Collaborates with team members to create detailed functional and/or technical specifications for complex development of new or modifications to existing…
Senior Business Data Analyst,"Plano, TX 75023",Intuit,,4.2,"Superior technical knowledge & proficiency with SQL to perform data acquisition, segmentation, and aggregation from varied data sources."
Data Analyst- YourCause,"Plano, TX",Blackbaud,,3.5,Learn the data models in use and effectively design and/or recommend technology solutions that align with the data model. Bachelor’s Degree or equivalent.
Business Analyst Intern - Summer 2021,"Plano, TX",Mitel,,3.3,"Complete special projects and analytical research. Junior, Senior or Master's student (by Fall 2021) with preferred major in Finance, Marketing, or Economics."
Data Engineer,"Dallas, TX 75201 (City Center District area)",APEX Clearing,,3.4,"Create processes to load, transform, and deliver data to business users, end-customers, 3rd party vendors, and application developers."
Data Custodian - Sr. Analyst - CARDS & CRS Acquisitions,"Irving, TX 75062 (Northwest area)",Citi,,3.9,Serve as advisor or coach to new or lower level analysts. Ability to work under pressure and manage deadlines or unexpected changes in expectations or…
Data Engineer,"Plano, TX 75023",Toyota,,4.0,The primary responsibility of this role is to build and support data integration services for Toyota Financial Services' (TFS) internal and external systems…
Business Analyst III,"Dallas, TX",Vistra Corporate Services Company,,3.8,1-2 years professional experience in a technology or business field. Respond to questions from business clients regarding any aspect of customer data.
Financial Analyst I - Budget & Resource Planning,"Dallas, TX 75390 (Near East area)",UT Southwestern,,3.9,"Bachelor's degree in finance, accounting, or other related field and no experience required. Completes monthly financial management reports and reviews all…"
Business Process Analyst (Remote/Virtual),"Dallas, TX",JLL,,3.8,Minimum 3 years experience in facilities management or business operations. Undergraduate degree or equivalent experience.
Sr. Infrastructure Engineer II (Business Intelligence Administrator),"Irving, TX 75062 (Las Colinas Urban Center area)","Vizient, Inc.",,3.7,5 or more years of experience in a Cognos administrator or similar role is required. Drive team communication for technical project planning and present plans…
Business Analyst,"Dallas, TX 75240 (Far North area)",Sagatianz,,,Assuring the integrity and preservation of key data. Implementing regular updates and ensuring data quality and completeness.
Business Analyst,"Dallas, TX 75240 (Far North area)",Sagatianz,,,Assuring the integrity and preservation of key data. Implementing regular updates and ensuring data quality and completeness.
Business Analyst - IR Hlth Sys EMR,"Dallas, TX 75390 (Near East area)",UT Southwestern,,3.9,"Assists business analysts of lower grade to coordinate projects. Bachelor's degree in business administration, computer science, information systems, or other…"
